epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.271,2.40039,3.69015,2.27128,0.60009,0.14295,0.20657,0.06281,2.35466,2.82541,2.24559,0.00030009,0.00030009,0.00030009
2,25.6916,2.06704,2.23116,1.85708,0.60943,0.2141,0.24645,0.08392,2.3063,2.3068,2.24442,0.000604331,0.000604331,0.000604331
3,33.5797,2.03108,1.94975,1.89468,0.55013,0.31731,0.20258,0.07815,2.34267,3.26986,2.35063,0.000898198,0.000898198,0.000898198
4,42.4762,2.05188,1.85681,1.87037,0.60443,0.47743,0.48031,0.17552,2.39923,3.79372,2.37277,0.00118169,0.00118169,0.00118169
5,51.3966,2.07817,1.81501,1.87076,0.61304,0.39808,0.32708,0.11896,2.26197,5.16348,2.33299,0.00133469,0.00133469,0.00133469
6,59.3487,2.07385,1.6913,1.88406,0.49508,0.2109,0.23756,0.05581,3.10618,4.23703,3.15711,0.00131111,0.00131111,0.00131111
7,68.2779,2.03291,1.77508,1.85441,0.33173,0.84423,0.70948,0.27168,2.28145,2.23205,2.20702,0.00128753,0.00128753,0.00128753
8,76.0352,2.02158,1.64084,1.8526,0.79007,0.40321,0.58658,0.24957,2.38612,2.57136,2.27769,0.00126395,0.00126395,0.00126395
9,84.7249,2.00202,1.51349,1.81826,0.45655,0.95385,0.87479,0.33636,2.24774,1.74399,2.14073,0.00124037,0.00124037,0.00124037
10,93.7249,2.02652,1.53406,1.81903,0.52022,0.92051,0.81995,0.32669,2.19079,1.76733,2.0412,0.00121679,0.00121679,0.00121679
11,101.652,1.96306,1.45153,1.8085,0.51016,0.86987,0.78831,0.3226,2.38365,1.67265,2.21754,0.00119322,0.00119322,0.00119322
12,110.604,1.9554,1.48393,1.81998,0.5156,0.92051,0.87567,0.3103,2.18057,1.55998,2.03595,0.00116964,0.00116964,0.00116964
13,118.393,1.94373,1.48682,1.77476,0.67512,0.84551,0.86623,0.28897,2.12235,1.40529,1.96587,0.00114606,0.00114606,0.00114606
14,126.968,1.84654,1.37872,1.72106,0.50479,0.90769,0.84275,0.35011,2.12961,1.57855,1.99825,0.00112248,0.00112248,0.00112248
15,136.005,1.93807,1.43621,1.78977,0.84734,0.86531,0.8692,0.37794,2.19156,1.31401,2.04324,0.0010989,0.0010989,0.0010989
16,143.805,1.90617,1.38558,1.76465,0.72534,0.41951,0.78841,0.26908,2.27727,1.67057,2.14126,0.00107532,0.00107532,0.00107532
17,152.54,1.9069,1.42913,1.77001,0.82889,0.80016,0.8763,0.41773,2.21201,1.67357,2.00658,0.00105174,0.00105174,0.00105174
18,160.451,1.88748,1.35253,1.77355,0.65965,0.85769,0.83887,0.40119,2.18968,1.42435,2.03222,0.00102817,0.00102817,0.00102817
19,169.003,1.91395,1.39792,1.77943,0.6532,0.91603,0.86748,0.40523,2.10613,1.29973,1.99494,0.00100459,0.00100459,0.00100459
20,177.983,1.9172,1.36057,1.75913,0.84192,0.57051,0.896,0.35556,2.0638,1.34943,1.93117,0.000981008,0.000981008,0.000981008
21,185.598,1.7916,1.29859,1.70797,0.88719,0.55585,0.90288,0.29777,2.16852,1.3367,1.95938,0.00095743,0.00095743,0.00095743
22,194.387,1.83392,1.23315,1.71882,0.51263,0.93718,0.86801,0.41555,2.0701,1.25706,1.93276,0.000933851,0.000933851,0.000933851
23,202.311,1.86873,1.25393,1.7495,0.67222,0.93785,0.89244,0.37355,2.08986,1.28105,1.94529,0.000910273,0.000910273,0.000910273
24,210.788,1.84179,1.21744,1.74383,0.9179,0.86005,0.91391,0.42076,2.03384,1.15459,1.88834,0.000886694,0.000886694,0.000886694
25,219.695,1.88304,1.24953,1.722,0.86182,0.86598,0.91143,0.34538,2.08786,1.27329,1.96097,0.000863116,0.000863116,0.000863116
26,227.373,1.85287,1.34528,1.76723,0.73602,0.93718,0.92967,0.39695,1.99581,1.10638,1.8645,0.000839537,0.000839537,0.000839537
27,236.199,1.82928,1.16275,1.71022,0.6836,0.91218,0.90997,0.39368,1.99893,1.1572,1.86132,0.000815959,0.000815959,0.000815959
28,243.923,1.77815,1.14962,1.66773,0.56053,0.93718,0.89154,0.3993,2.06117,1.17382,1.90305,0.00079238,0.00079238,0.00079238
29,252.43,1.8187,1.15539,1.69071,0.88585,0.88817,0.91644,0.39928,2.10904,1.09763,1.91252,0.000768802,0.000768802,0.000768802
30,261.339,1.8232,1.15972,1.7051,0.71066,0.93718,0.90982,0.40716,2.09797,1.13799,1.89254,0.000745223,0.000745223,0.000745223
31,269.039,1.78115,1.11623,1.66058,0.75304,0.91218,0.90887,0.38982,2.06334,1.11205,1.90413,0.000721645,0.000721645,0.000721645
32,277.777,1.80817,1.15243,1.68512,0.86856,0.88269,0.93457,0.41224,2.09126,0.98256,1.89432,0.000698066,0.000698066,0.000698066
33,285.686,1.77649,1.13691,1.69959,0.84574,0.88089,0.91727,0.45144,2.01476,1.04097,1.9145,0.000674488,0.000674488,0.000674488
34,294.26,1.77706,1.11831,1.71206,0.81723,0.92496,0.91376,0.4282,2.08216,0.99584,1.88012,0.000650909,0.000650909,0.000650909
35,303.179,1.81817,1.10141,1.68196,0.83416,0.89032,0.91311,0.39029,2.06493,1.0317,1.93257,0.000627331,0.000627331,0.000627331
36,310.922,1.7342,1.0877,1.64467,0.88659,0.90416,0.918,0.39651,2.04872,0.96073,1.89175,0.000603752,0.000603752,0.000603752
37,319.765,1.79053,1.06053,1.66627,0.84213,0.91218,0.91897,0.38906,2.03691,1.00038,1.85311,0.000580174,0.000580174,0.000580174
38,327.601,1.7932,1.10621,1.65333,0.8716,0.92051,0.92858,0.46759,1.99351,0.94829,1.83892,0.000556595,0.000556595,0.000556595
39,336.085,1.72308,1.10794,1.67008,0.86973,0.92436,0.92893,0.48393,2.07624,1.07427,1.88772,0.000533017,0.000533017,0.000533017
40,345.172,1.73887,1.09732,1.66208,0.90288,0.92051,0.91721,0.4222,2.05483,0.97762,1.94253,0.000509438,0.000509438,0.000509438
41,352.882,1.73275,1.02988,1.65236,0.94033,0.84551,0.93535,0.52047,2.07209,0.94817,1.87503,0.00048586,0.00048586,0.00048586
42,361.643,1.77226,1.0662,1.67078,0.9405,0.82436,0.9249,0.46623,2.00256,0.96983,1.84646,0.000462281,0.000462281,0.000462281
43,369.651,1.75997,1.06194,1.69523,0.90504,0.89923,0.93451,0.4705,2.01594,0.97684,1.84977,0.000438703,0.000438703,0.000438703
44,378.25,1.68625,1.022,1.62882,0.87386,0.88889,0.91517,0.44129,2.00712,0.97827,1.87157,0.000415124,0.000415124,0.000415124
45,387.1,1.74381,1.13881,1.69062,0.8821,0.89003,0.95082,0.43912,2.04247,0.97628,1.86938,0.000391546,0.000391546,0.000391546
46,394.692,1.63858,1.08587,1.63381,0.90603,0.89551,0.924,0.43135,1.98548,1.01614,1.83894,0.000367967,0.000367967,0.000367967
47,403.584,1.69657,0.98236,1.61564,0.91381,0.87753,0.92554,0.47322,1.9825,0.92529,1.83244,0.000344389,0.000344389,0.000344389
48,411.718,1.66463,0.9965,1.60251,0.89538,0.87051,0.92351,0.47063,2.0135,0.98469,1.8481,0.00032081,0.00032081,0.00032081
49,420.051,1.58354,1.00021,1.56128,0.85793,0.87051,0.9221,0.50715,1.96532,0.93717,1.84015,0.000297232,0.000297232,0.000297232
50,428.957,1.62583,0.93306,1.57978,0.90739,0.90385,0.93513,0.47118,2.02063,0.92454,1.84026,0.000273654,0.000273654,0.000273654
51,437.95,1.69435,0.93534,1.71869,0.90134,0.86033,0.93912,0.46523,2.03184,0.90304,1.82692,0.000250075,0.000250075,0.000250075
52,446.68,1.72184,0.92386,1.7256,0.88557,0.91218,0.94461,0.47799,2.00844,0.87481,1.83456,0.000226497,0.000226497,0.000226497
53,455.439,1.74896,0.87834,1.74993,0.89849,0.91547,0.94485,0.47883,2.01113,0.86313,1.85196,0.000202918,0.000202918,0.000202918
54,463.161,1.69161,0.84751,1.66265,0.89205,0.89651,0.91724,0.47332,1.98905,0.84661,1.83988,0.00017934,0.00017934,0.00017934
55,471.83,1.65125,0.80415,1.65547,0.92116,0.88718,0.93267,0.47332,1.96206,0.84053,1.8214,0.000155761,0.000155761,0.000155761
56,479.367,1.65639,0.79615,1.65153,0.92461,0.88699,0.94166,0.4795,1.96765,0.84862,1.83338,0.000132183,0.000132183,0.000132183
57,487.875,1.63191,0.80288,1.66617,0.88795,0.89369,0.94552,0.4836,1.96978,0.83124,1.85482,0.000108604,0.000108604,0.000108604
58,496.575,1.59609,0.82889,1.65848,0.87374,0.88975,0.93477,0.4838,1.96013,0.83335,1.84218,8.50255e-05,8.50255e-05,8.50255e-05
59,504.306,1.60349,0.79435,1.64267,0.87567,0.88718,0.94297,0.47805,1.96084,0.83111,1.83624,6.1447e-05,6.1447e-05,6.1447e-05
60,512.934,1.71518,0.82107,1.73167,0.88784,0.88718,0.94391,0.48286,1.9701,0.82076,1.84201,3.78685e-05,3.78685e-05,3.78685e-05
